"010 -- Kokonaishedelmällisyys -ja bruttouusiutumisluku maakunnittain 2000 - 2016"

"Tiedot"	"Alue"	"2000"	"2001"	"2002"	"2003"	"2004"	"2005"	"2006"	"2007"	"2008"	"2009"	"2010"	"2011"	"2012"	"2013"	"2014"	"2015"	"2016"
"Kokonaishedelmällisyysluku"	"KOKO MAA"	1.729	1.726	1.718	1.760	1.800	1.803	1.837	1.829	1.846	1.864	1.870	1.827	1.801	1.747	1.710	1.650	1.567
"Kokonaishedelmällisyysluku"	"Uudenmaan maakunta"	1.595	1.575	1.591	1.645	1.666	1.655	1.705	1.676	1.700	1.693	1.704	1.652	1.604	1.579	1.547	1.509	1.446
"Kokonaishedelmällisyysluku"	"Varsinais-Suomen maakunta"	1.648	1.595	1.574	1.579	1.649	1.613	1.626	1.649	1.680	1.691	1.750	1.677	1.646	1.619	1.610	1.565	1.454
"Kokonaishedelmällisyysluku"	"Satakunnan maakunta"	1.728	1.743	1.752	1.762	1.863	1.848	1.974	1.831	1.779	1.915	1.913	1.907	1.833	1.856	1.819	1.746	1.657
"Kokonaishedelmällisyysluku"	"Kanta-Hämeen maakunta"	1.824	1.787	1.800	1.892	1.887	1.792	1.952	1.929	1.947	1.993	1.855	1.881	1.823	1.829	1.800	1.679	1.589
"Kokonaishedelmällisyysluku"	"Pirkanmaan maakunta"	1.662	1.686	1.628	1.693	1.776	1.766	1.800	1.787	1.827	1.827	1.797	1.773	1.832	1.705	1.652	1.607	1.508
"Kokonaishedelmällisyysluku"	"Päijät-Hämeen maakunta"	1.757	1.739	1.721	1.688	1.789	1.832	1.797	1.779	1.845	1.791	1.825	1.731	1.820	1.673	1.644	1.637	1.511
"Kokonaishedelmällisyysluku"	"Kymenlaakson maakunta"	1.698	1.754	1.693	1.705	1.846	1.767	1.665	1.800	1.739	1.800	1.898	1.741	1.813	1.778	1.691	1.707	1.620
"Kokonaishedelmällisyysluku"	"Etelä-Karjalan maakunta"	1.645	1.747	1.632	1.628	1.658	1.764	1.777	1.783	1.764	1.666	1.894	1.848	1.705	1.683	1.682	1.676	1.516
"Kokonaishedelmällisyysluku"	"Etelä-Savon maakunta"	1.680	1.760	1.727	1.745	1.771	1.742	1.785	1.810	1.816	1.810	1.774	1.890	1.654	1.770	1.723	1.587	1.581
"Kokonaishedelmällisyysluku"	"Pohjois-Savon maakunta"	1.762	1.859	1.693	1.762	1.887	1.847	1.842	1.786	1.845	1.877	1.888	1.846	1.851	1.767	1.697	1.676	1.542
"Kokonaishedelmällisyysluku"	"Pohjois-Karjalan maakunta"	1.767	1.812	1.769	1.754	1.738	1.831	1.834	1.846	1.802	1.834	1.841	1.943	1.833	1.779	1.780	1.686	1.609
"Kokonaishedelmällisyysluku"	"Keski-Suomen maakunta"	1.741	1.753	1.740	1.826	1.812	1.835	1.978	1.925	1.897	1.985	1.940	1.906	1.867	1.781	1.783	1.690	1.595
"Kokonaishedelmällisyysluku"	"Etelä-Pohjanmaan maakunta"	1.991	2.054	2.034	2.083	2.103	2.061	2.079	2.078	2.177	2.177	2.180	2.175	2.196	2.016	2.008	1.988	1.908
"Kokonaishedelmällisyysluku"	"Pohjanmaan maakunta"	1.886	1.848	1.942	1.942	1.912	1.986	2.032	2.058	2.097	2.147	2.153	2.012	2.060	1.951	1.986	1.877	1.839
"Kokonaishedelmällisyysluku"	"Keski-Pohjanmaan maakunta"	2.025	2.123	2.083	2.248	2.081	2.238	2.171	2.341	2.249	2.384	2.368	2.370	2.259	2.296	2.319	2.009	2.126
"Kokonaishedelmällisyysluku"	"Pohjois-Pohjanmaan maakunta"	2.175	2.157	2.213	2.247	2.284	2.353	2.340	2.363	2.378	2.403	2.400	2.327	2.374	2.236	2.169	2.046	1.907
"Kokonaishedelmällisyysluku"	"Kainuun maakunta"	1.837	1.767	1.818	1.898	1.872	2.089	1.956	2.060	1.987	2.151	2.039	1.961	1.952	2.020	1.990	1.685	1.788
"Kokonaishedelmällisyysluku"	"Lapin maakunta"	1.915	1.790	1.820	1.867	1.911	1.912	1.902	1.947	2.003	2.040	2.011	2.047	1.890	1.919	1.734	1.682	1.587
"Kokonaishedelmällisyysluku"	"Ahvenanmaa"	1.539	1.753	1.660	1.640	1.752	1.717	1.867	1.847	1.881	1.694	1.834	1.801	1.847	1.800	1.783	1.689	1.792
"Bruttouusiutumisluku"	"KOKO MAA"	0.838	0.844	0.834	0.864	0.875	0.885	0.900	0.890	0.903	0.914	0.910	0.896	0.883	0.850	0.835	0.803	0.772
"Bruttouusiutumisluku"	"Uudenmaan maakunta"	0.777	0.771	0.778	0.814	0.812	0.825	0.833	0.817	0.832	0.837	0.828	0.805	0.782	0.766	0.755	0.729	0.696
"Bruttouusiutumisluku"	"Varsinais-Suomen maakunta"	0.807	0.766	0.749	0.769	0.791	0.784	0.805	0.829	0.818	0.830	0.851	0.807	0.803	0.784	0.795	0.761	0.723
"Bruttouusiutumisluku"	"Satakunnan maakunta"	0.807	0.845	0.835	0.843	0.921	0.891	0.989	0.883	0.879	0.950	0.905	0.942	0.886	0.935	0.867	0.878	0.835
"Bruttouusiutumisluku"	"Kanta-Hämeen maakunta"	0.901	0.889	0.882	0.947	0.940	0.871	0.942	0.890	0.954	0.926	0.898	0.916	0.841	0.891	0.872	0.799	0.794
"Bruttouusiutumisluku"	"Pirkanmaan maakunta"	0.799	0.819	0.785	0.824	0.874	0.878	0.889	0.857	0.918	0.885	0.886	0.874	0.899	0.826	0.790	0.787	0.733
"Bruttouusiutumisluku"	"Päijät-Hämeen maakunta"	0.865	0.857	0.846	0.853	0.854	0.885	0.859	0.869	0.894	0.873	0.877	0.825	0.893	0.797	0.789	0.830	0.702
"Bruttouusiutumisluku"	"Kymenlaakson maakunta"	0.799	0.844	0.843	0.818	0.904	0.838	0.846	0.890	0.866	0.867	0.928	0.857	0.882	0.879	0.865	0.847	0.842
"Bruttouusiutumisluku"	"Etelä-Karjalan maakunta"	0.795	0.855	0.789	0.788	0.832	0.853	0.875	0.892	0.872	0.823	0.928	0.918	0.866	0.833	0.828	0.818	0.748
"Bruttouusiutumisluku"	"Etelä-Savon maakunta"	0.800	0.878	0.830	0.863	0.854	0.802	0.892	0.871	0.905	0.889	0.860	0.923	0.811	0.850	0.847	0.783	0.793
"Bruttouusiutumisluku"	"Pohjois-Savon maakunta"	0.881	0.918	0.826	0.868	0.895	0.909	0.865	0.863	0.884	0.912	0.941	0.886	0.943	0.859	0.855	0.821	0.787
"Bruttouusiutumisluku"	"Pohjois-Karjalan maakunta"	0.882	0.858	0.834	0.873	0.909	0.923	0.922	0.871	0.887	0.923	0.903	0.976	0.940	0.902	0.891	0.852	0.811
"Bruttouusiutumisluku"	"Keski-Suomen maakunta"	0.847	0.869	0.866	0.904	0.884	0.903	0.958	0.951	0.922	0.950	0.945	0.936	0.928	0.865	0.887	0.825	0.780
"Bruttouusiutumisluku"	"Etelä-Pohjanmaan maakunta"	0.949	0.977	0.982	1.014	0.985	1.003	1.045	0.980	1.068	1.088	1.078	1.092	1.073	0.942	0.972	0.980	0.995
"Bruttouusiutumisluku"	"Pohjanmaan maakunta"	0.906	0.909	0.982	0.939	0.934	0.927	0.991	0.993	0.994	1.052	1.075	1.015	1.045	0.961	0.934	0.864	0.924
"Bruttouusiutumisluku"	"Keski-Pohjanmaan maakunta"	1.010	1.109	1.070	1.088	0.945	1.107	1.055	1.184	1.064	1.118	1.100	1.159	1.036	1.178	1.175	0.987	1.037
"Bruttouusiutumisluku"	"Pohjois-Pohjanmaan maakunta"	1.029	1.072	1.054	1.085	1.092	1.160	1.151	1.162	1.142	1.201	1.157	1.161	1.156	1.075	1.064	0.990	0.955
"Bruttouusiutumisluku"	"Kainuun maakunta"	0.937	0.892	0.837	0.962	0.930	0.973	0.899	1.026	0.980	1.068	0.985	0.931	1.022	1.031	0.963	0.775	0.900
"Bruttouusiutumisluku"	"Lapin maakunta"	0.920	0.860	0.892	0.913	0.934	0.949	0.938	0.932	1.002	1.010	0.949	1.023	0.931	0.928	0.836	0.828	0.779
"Bruttouusiutumisluku"	"Ahvenanmaa"	0.674	0.861	0.802	0.814	0.792	0.839	0.867	0.917	0.883	0.692	0.936	0.942	0.936	0.865	0.847	0.811	0.887
