"Alue";"2000 Sukupuolet yhteensä Elävänä syntyneet, lkm";"2001 Sukupuolet yhteensä Elävänä syntyneet, lkm";"2002 Sukupuolet yhteensä Elävänä syntyneet, lkm";"2003 Sukupuolet yhteensä Elävänä syntyneet, lkm";"2004 Sukupuolet yhteensä Elävänä syntyneet, lkm";"2005 Sukupuolet yhteensä Elävänä syntyneet, lkm";"2006 Sukupuolet yhteensä Elävänä syntyneet, lkm";"2007 Sukupuolet yhteensä Elävänä syntyneet, lkm";"2008 Sukupuolet yhteensä Elävänä syntyneet, lkm";"2009 Sukupuolet yhteensä Elävänä syntyneet, lkm";"2010 Sukupuolet yhteensä Elävänä syntyneet, lkm";"2011 Sukupuolet yhteensä Elävänä syntyneet, lkm";"2012 Sukupuolet yhteensä Elävänä syntyneet, lkm";"2013 Sukupuolet yhteensä Elävänä syntyneet, lkm";"2014 Sukupuolet yhteensä Elävänä syntyneet, lkm";"2015 Sukupuolet yhteensä Elävänä syntyneet, lkm";"2016 Sukupuolet yhteensä Elävänä syntyneet, lkm";"2017 Sukupuolet yhteensä Elävänä syntyneet, lkm"
"KOKO MAA";56742;56189;55555;56630;57758;57745;58840;58729;59530;60430;60980;59961;59493;58134;57232;55472;52814;50321
"Akaa";172;159;168;169;175;192;190;202;191;191;201;177;209;186;167;162;143;134
"Alajärvi";125;146;108;129;118;107;121;123;127;119;129;122;107;100;98;101;89;90
"Alavieska";39;47;34;40;32;31;28;37;40;28;40;29;35;32;37;35;20;26
"Alavus";139;157;128;121;142;164;144;137;145;133;139;130;127;118;134;104;107;119
"Asikkala";68;83;58;49;88;52;66;76;56;70;60;60;61;68;58;56;54;50
"Askola";45;57;48;66;50;44;48;61;44;69;58;58;57;74;47;74;60;39
"Aura";33;39;51;34;55;48;55;54;54;36;61;59;49;45;47;59;49;44
"Brändö";4;4;2;6;3;4;4;2;2;1;2;1;1;2;4;2;1;2
"Eckerö";7;5;10;4;7;8;10;11;10;6;5;13;14;5;5;8;5;14
"Enonkoski";11;15;8;9;16;10;11;7;12;13;17;12;16;14;6;11;9;8
"Enontekiö";16;18;12;16;16;14;15;14;16;19;19;22;22;15;17;13;11;8
"Espoo";3143;3105;3193;3300;3307;3368;3538;3545;3485;3465;3579;3546;3447;3532;3407;3280;3236;3089
"Eura";122;138;112;135;145;142;142;122;110;131;128;111;120;121;127;99;123;97
"Eurajoki";112;78;100;84;99;96;110;96;100;107;89;103;98;105;81;97;84;73
"Evijärvi";23;36;34;34;22;23;28;28;23;27;30;36;18;36;16;22;20;19
"Finström";22;29;22;28;21;32;31;32;24;33;29;29;33;27;27;21;26;29
"Forssa";172;168;163;180;170;152;177;166;180;169;148;153;125;142;130;120;129;108
"Föglö";7;9;6;7;7;6;4;2;5;1;3;4;2;5;4;2;6;2
"Geta";2;7;3;3;5;0;7;2;4;4;8;6;5;4;3;5;4;2
"Haapajärvi";96;123;96;108;115;93;100;99;80;111;93;89;90;90;89;76;90;73
"Haapavesi";118;87;112;93;106;98;92;105;98;78;93;92;96;93;106;82;88;86
"Hailuoto";4;7;7;6;5;8;4;7;9;10;8;8;3;8;8;11;6;6
"Halsua";17;17;11;15;13;14;9;12;7;12;11;11;13;7;12;9;7;14
"Hamina";220;227;195;201;192;217;175;206;173;199;200;197;184;184;164;152;140;108
"Hammarland";13;15;11;17;16;26;21;16;14;13;14;25;18;16;18;16;13;13
"Hankasalmi";56;45;45;55;43;34;43;50;54;53;57;51;51;66;43;34;42;26
"Hanko";88;95;91;89;81;93;76;87;89;101;87;90;64;62;61;51;65;51
"Harjavalta";59;63;98;71;77;68;72;60;68;60;64;78;54;70;71;60;57;46
"Hartola";29;27;22;21;28;25;32;22;11;14;16;17;20;19;27;19;11;17
"Hattula";120;100;92;98;103;107;105;110;106;123;109;111;104;116;94;101;74;95
"Hausjärvi";83;84;80;91;100;98;97;93;91;99;91;93;118;97;80;99;70;72
"Heinola";190;178;146;174;195;169;135;171;136;162;129;148;141;130;124;114;123;107
"Heinävesi";37;28;41;44;31;36;22;21;35;38;29;21;18;25;20;18;15;16
"Helsinki";6282;6169;6064;6299;6180;6103;6156;6079;6407;6533;6709;6619;6748;6789;6907;7016;6803;6566
"Hirvensalmi";29;22;15;10;14;11;14;6;9;12;18;19;12;15;12;12;13;18
"Hollola";229;263;233;258;256;277;272;262;275;243;251;237;262;248;246;223;205;184
"Honkajoki";16;13;17;15;11;16;22;9;23;17;21;9;28;14;15;16;11;17
"Huittinen";106;121;81;98;112;85;103;97;93;99;95;110;88;78;102;102;101;83
"Humppila";29;34;20;33;27;24;25;25;33;24;16;29;25;19;19;14;12;17
"Hyrynsalmi";15;27;22;16;18;14;13;16;15;20;8;13;11;15;15;10;18;12
"Hyvinkää";481;505;524;450;481;493;514;517;524;491;484;490;452;446;434;433;395;410
"Hämeenkyrö";106;90;117;119;116;116;103;99;97;113;102;108;107;108;136;107;111;105
"Hämeenlinna";621;613;616;642;658;598;660;674;694;675;686;680;660;687;675;625;614;589
"Ii";101;111;98;119;120;122;128;127;140;143;140;139;147;146;156;119;132;115
"Iisalmi";226;222;218;194;238;232;200;222;223;225;241;230;189;241;235;222;209;187
"Iitti";65;55;50;55;72;56;62;51;52;60;54;56;52;67;63;63;49;61
"Ikaalinen";73;69;52;59;54;72;69;54;62;55;75;75;67;64;69;65;64;65
"Ilmajoki";139;128;140;115;103;118;130;132;140;146;136;124;162;120;131;139;132;124
"Ilomantsi";52;42;35;41;45;37;24;35;26;38;22;43;31;31;23;35;30;24
"Imatra";255;269;230;247;253;256;256;252;216;231;231;246;198;212;188;211;173;187
"Inari";67;79;46;53;54;60;64;67;45;65;54;56;43;64;38;44;50;42
"Inkoo";60;53;54;55;40;65;52;52;69;48;74;52;48;60;42;39;51;33
"Isojoki";23;22;27;26;18;18;17;16;13;16;21;19;16;14;14;17;9;9
"Isokyrö";55;56;53;60;61;59;59;53;56;45;44;50;53;51;52;48;45;30
"Janakkala";163;171;141;162;163;128;154;185;164;208;171;154;167;139;170;143;141;140
"Joensuu";785;779;729;753;738;753;796;770;732;759;782;791;814;748;761;739;689;664
"Jokioinen";66;71;71;58;56;61;64;57;64;53;65;68;54;50;52;47;36;34
"Jomala";29;44;36;40;47;42;47;44;55;58;62;51;67;56;60;64;61;60
"Joroinen";62;48;45;52;51;49;46;41;55;45;52;50;37;35;40;31;41;34
"Joutsa";27;33;39;35;35;27;44;41;34;32;38;23;25;34;34;37;15;24
"Juuka";48;37;48;57;49;64;40;50;35;33;41;34;20;23;19;27;26;22
"Juupajoki";16;24;19;23;16;26;15;17;20;17;19;19;26;16;23;10;14;14
"Juva";74;74;53;55;60;56;58;56;53;50;36;58;42;51;48;40;37;42
"Jyväskylä";1330;1385;1401;1484;1555;1576;1741;1670;1643;1747;1708;1714;1668;1581;1588;1570;1445;1377
"Jämijärvi";27;22;19;21;28;18;17;17;17;10;13;16;17;22;27;25;10;13
"Jämsä";244;233;232;204;208;204;198;229;198;221;193;197;200;166;155;161;137;114
"Järvenpää";470;458;439;485;494;472;487;440;506;463;466;473;468;474;421;462;471;410
"Kaarina";346;318;299;310;378;367;384;359;385;370;402;374;371;352;341;367;338;353
"Kaavi";29;36;23;29;32;31;27;24;26;22;21;27;23;21;20;27;21;12
"Kajaani";419;403;392;403;421;443;443;452;450;474;454;441;424;432;424;355;378;319
"Kalajoki";153;120;143;145;152;150;142;183;145;152;154;161;157;145;150;134;121;124
"Kangasala";276;287;300;305;357;360;389;408;404;394;394;360;364;356;327;313;365;290
"Kangasniemi";41;44;41;42;39;45;38;64;40;39;40;43;37;38;38;42;29;32
"Kankaanpää";140;127;132;112;130;111;126;119;111;110;120;134;115;109;113;122;109;99
"Kannonkoski";17;17;11;11;20;12;16;8;10;15;16;13;11;9;7;8;9;5
"Kannus";75;89;66;68;79;83;58;66;45;69;79;65;83;60;85;56;65;66
"Karijoki";7;11;10;15;13;13;12;10;10;9;12;9;11;14;5;10;12;13
"Karkkila";81;87;96;82;91;92;92;98;93;105;98;97;91;85;76;85;69;72
