"Alue";"Pääasiallinen toiminta";"Miehet Ikäluokat yhteensä 2016";"Naiset Ikäluokat yhteensä 2016"
"Akaa";"Työttömät";626;510
"Alajärvi";"Työttömät";330;225
"Alavieska";"Työttömät";61;58
"Alavus";"Työttömät";338;219
"Asikkala";"Työttömät";244;175
"Askola";"Työttömät";107;106
"Aura";"Työttömät";79;110
"Brändö";"Työttömät";10;3
"Eckerö";"Työttömät";10;14
"Enonkoski";"Työttömät";56;44
"Enontekiö";"Työttömät";116;61
"Espoo";"Työttömät";7710;6573
"Eura";"Työttömät";317;218
"Eurajoki";"Työttömät";246;227
"Evijärvi";"Työttömät";50;44
"Finström";"Työttömät";18;22
"Forssa";"Työttömät";647;591
"Föglö";"Työttömät";1;1
"Geta";"Työttömät";5;4
"Haapajärvi";"Työttömät";200;165
"Haapavesi";"Työttömät";266;151
"Hailuoto";"Työttömät";32;13
"Halsua";"Työttömät";25;18
"Hamina";"Työttömät";789;684
"Hammarland";"Työttömät";11;15
"Hankasalmi";"Työttömät";206;141
"Hanko";"Työttömät";293;221
"Harjavalta";"Työttömät";238;178
"Hartola";"Työttömät";90;82
"Hattula";"Työttömät";240;207
"Hausjärvi";"Työttömät";193;170
"Heinola";"Työttömät";821;624
"Heinävesi";"Työttömät";148;80
"Helsinki";"Työttömät";22004;18606
"Hirvensalmi";"Työttömät";86;63
"Hollola";"Työttömät";707;616
"Honkajoki";"Työttömät";58;42
"Huittinen";"Työttömät";247;210
"Humppila";"Työttömät";72;66
"Hyrynsalmi";"Työttömät";108;65
"Hyvinkää";"Työttömät";1406;1163
"Hämeenkyrö";"Työttömät";350;270
"Hämeenlinna";"Työttömät";2412;1884
"Ii";"Työttömät";443;313
"Iisalmi";"Työttömät";877;626
"Iitti";"Työttömät";224;180
"Ikaalinen";"Työttömät";278;196
"Ilmajoki";"Työttömät";326;247
"Ilomantsi";"Työttömät";293;164
"Imatra";"Työttömät";1309;1033
"Inari";"Työttömät";304;149
"Inkoo";"Työttömät";113;99
"Isojoki";"Työttömät";43;49
"Isokyrö";"Työttömät";141;97
"Janakkala";"Työttömät";489;425
"Joensuu";"Työttömät";3849;2752
"Jokioinen";"Työttömät";164;146
"Jomala";"Työttömät";33;33
"Joroinen";"Työttömät";170;119
"Joutsa";"Työttömät";211;132
"Juuka";"Työttömät";267;139
"Juupajoki";"Työttömät";65;52
"Juva";"Työttömät";235;109
"Jyväskylä";"Työttömät";6336;5075
"Jämijärvi";"Työttömät";62;35
"Jämsä";"Työttömät";1000;698
"Järvenpää";"Työttömät";1277;985
"Kaarina";"Työttömät";868;752
"Kaavi";"Työttömät";104;89
"Kajaani";"Työttömät";1481;992
"Kalajoki";"Työttömät";309;293
"Kangasala";"Työttömät";1099;812
"Kangasniemi";"Työttömät";199;144
"Kankaanpää";"Työttömät";357;347
"Kannonkoski";"Työttömät";70;45
"Kannus";"Työttömät";168;140
"Karijoki";"Työttömät";44;25
"Karkkila";"Työttömät";273;210
"Karstula";"Työttömät";211;119
"Karvia";"Työttömät";89;60
"Kaskinen";"Työttömät";45;31
"Kauhajoki";"Työttömät";429;350
"Kauhava";"Työttömät";359;271
"Kauniainen";"Työttömät";162;147
"Kaustinen";"Työttömät";89;77
"Keitele";"Työttömät";49;54
"Kemi";"Työttömät";969;799
"Kemijärvi";"Työttömät";423;187
"Keminmaa";"Työttömät";282;263
"Kemiönsaari";"Työttömät";158;144
"Kempele";"Työttömät";537;502
"Kerava";"Työttömät";1161;941
"Keuruu";"Työttömät";328;293
"Kihniö";"Työttömät";84;48
"Kinnula";"Työttömät";85;41
"Kirkkonummi";"Työttömät";1098;876
"Kitee";"Työttömät";447;395
"Kittilä";"Työttömät";234;120
"Kiuruvesi";"Työttömät";295;249
"Kivijärvi";"Työttömät";56;35
"Kokemäki";"Työttömät";295;181
"Kokkola";"Työttömät";1440;1136
"Kolari";"Työttömät";167;84
"Konnevesi";"Työttömät";140;68
"Kontiolahti";"Työttömät";535;374
"Korsnäs";"Työttömät";62;32
"Koski Tl";"Työttömät";50;58
"Kotka";"Työttömät";2895;2331
"Kouvola";"Työttömät";3727;2641
"Kristiinankaupunki";"Työttömät";152;88
"Kruunupyy";"Työttömät";100;85
"Kuhmo";"Työttömät";428;271
"Kuhmoinen";"Työttömät";89;62
"Kumlinge";"Työttömät";5;1
"Kuopio";"Työttömät";4666;3038
"Kuortane";"Työttömät";89;60
"Kurikka";"Työttömät";700;438
"Kustavi";"Työttömät";32;12
"Kuusamo";"Työttömät";605;322
"Kyyjärvi";"Työttömät";65;32
"Kärkölä";"Työttömät";139;121
"Kärsämäki";"Työttömät";71;53
"Kökar";"Työttömät";4;3
"Lahti";"Työttömät";5495;4579
"Laihia";"Työttömät";241;140
"Laitila";"Työttömät";191;171
"Lapinjärvi";"Työttömät";76;65
"Lapinlahti";"Työttömät";376;257
"Lappajärvi";"Työttömät";78;72
"Lappeenranta";"Työttömät";3126;2552
"Lapua";"Työttömät";412;312
"Laukaa";"Työttömät";628;550
"Lemi";"Työttömät";110;72
"Lemland";"Työttömät";11;12
"Lempäälä";"Työttömät";704;624
"Leppävirta";"Työttömät";354;225
"Lestijärvi";"Työttömät";25;15
"Lieksa";"Työttömät";564;390
"Lieto";"Työttömät";419;377
"Liminka";"Työttömät";221;215
"Liperi";"Työttömät";457;337
"Lohja";"Työttömät";1632;1217
"Loimaa";"Työttömät";490;340
"Loppi";"Työttömät";146;151
"Loviisa";"Työttömät";466;393
"Luhanka";"Työttömät";26;8
"Lumijoki";"Työttömät";49;49
"Lumparland";"Työttömät";2;2
"Luoto";"Työttömät";44;55
"Luumäki";"Työttömät";167;112
"Maalahti";"Työttömät";171;92
"Maarianhamina - Mariehamn";"Työttömät";158;110
"Marttila";"Työttömät";51;37
"Masku";"Työttömät";200;191
"Merijärvi";"Työttömät";33;10
"Merikarvia";"Työttömät";120;97
"Miehikkälä";"Työttömät";55;42
"Mikkeli";"Työttömät";2053;1474
"Muhos";"Työttömät";294;243
"Multia";"Työttömät";57;37
"Muonio";"Työttömät";64;43
"Mustasaari";"Työttömät";457;273
"Muurame";"Työttömät";297;254
"Mynämäki";"Työttömät";209;177
"Myrskylä";"Työttömät";64;58
"Mäntsälä";"Työttömät";443;434
"Mänttä-Vilppula";"Työttömät";372;258
"Mäntyharju";"Työttömät";232;180
"Naantali";"Työttömät";450;476
"Nakkila";"Työttömät";204;159
"Nivala";"Työttömät";314;269
"Nokia";"Työttömät";1287;1012
"Nousiainen";"Työttömät";100;121
"Nurmes";"Työttömät";375;231
"Nurmijärvi";"Työttömät";828;748
"Närpiö";"Työttömät";144;95
"Orimattila";"Työttömät";535;467
"Oripää";"Työttömät";22;35
"Orivesi";"Työttömät";341;254
"Oulainen";"Työttömät";252;165
"Oulu";"Työttömät";9166;7106
"Outokumpu";"Työttömät";291;243
"Padasjoki";"Työttömät";90;70
"Paimio";"Työttömät";292;228
"Paltamo";"Työttömät";161;78
"Parainen";"Työttömät";336;260
"Parikkala";"Työttömät";188;149
"Parkano";"Työttömät";223;177
"Pedersören kunta";"Työttömät";146;126
"Pelkosenniemi";"Työttömät";60;17
"Pello";"Työttömät";164;76
"Perho";"Työttömät";67;65
"Pertunmaa";"Työttömät";54;52
"Petäjävesi";"Työttömät";154;106
"Pieksämäki";"Työttömät";590;443
"Pielavesi";"Työttömät";119;87
"Pietarsaari";"Työttömät";521;411
"Pihtipudas";"Työttömät";169;108
"Pirkkala";"Työttömät";534;476
