"Alue";"Pääasiallinen toiminta";"Miehet Ikäluokat yhteensä 2016";"Naiset Ikäluokat yhteensä 2016"
"Akaa";"Työvoima";4076;3717
"Alajärvi";"Työvoima";2132;1864
"Alavieska";"Työvoima";601;498
"Alavus";"Työvoima";2599;2334
"Asikkala";"Työvoima";1788;1694
"Askola";"Työvoima";1291;1160
"Aura";"Työvoima";971;999
"Brändö";"Työvoima";124;102
"Eckerö";"Työvoima";252;223
"Enonkoski";"Työvoima";312;274
"Enontekiö";"Työvoima";467;439
"Espoo";"Työvoima";71719;70274
"Eura";"Työvoima";2835;2534
"Eurajoki";"Työvoima";2301;2009
"Evijärvi";"Työvoima";612;507
"Finström";"Työvoima";664;659
"Forssa";"Työvoima";3898;3738
"Föglö";"Työvoima";137;123
"Geta";"Työvoima";138;109
"Haapajärvi";"Työvoima";1599;1405
"Haapavesi";"Työvoima";1571;1360
"Hailuoto";"Työvoima";201;181
"Halsua";"Työvoima";270;223
"Hamina";"Työvoima";4578;4457
"Hammarland";"Työvoima";394;382
"Hankasalmi";"Työvoima";1061;1011
"Hanko";"Työvoima";1927;1807
"Harjavalta";"Työvoima";1505;1480
"Hartola";"Työvoima";613;574
"Hattula";"Työvoima";2376;2255
"Hausjärvi";"Työvoima";2117;1969
"Heinola";"Työvoima";4262;4016
"Heinävesi";"Työvoima";718;608
"Helsinki";"Työvoima";164794;176249
"Hirvensalmi";"Työvoima";497;416
"Hollola";"Työvoima";5592;5434
"Honkajoki";"Työvoima";433;366
"Huittinen";"Työvoima";2366;2212
"Humppila";"Työvoima";532;512
"Hyrynsalmi";"Työvoima";509;419
"Hyvinkää";"Työvoima";11665;11178
"Hämeenkyrö";"Työvoima";2500;2331
"Hämeenlinna";"Työvoima";15759;15821
"Ii";"Työvoima";2199;1885
"Iisalmi";"Työvoima";5183;4761
"Iitti";"Työvoima";1576;1451
"Ikaalinen";"Työvoima";1519;1486
"Ilmajoki";"Työvoima";2913;2726
"Ilomantsi";"Työvoima";1077;990
"Imatra";"Työvoima";6305;5815
"Inari";"Työvoima";1735;1608
"Inkoo";"Työvoima";1325;1299
"Isojoki";"Työvoima";477;398
"Isokyrö";"Työvoima";1106;973
"Janakkala";"Työvoima";4060;3735
"Joensuu";"Työvoima";17847;17572
"Jokioinen";"Työvoima";1258;1219
"Jomala";"Työvoima";1315;1297
"Joroinen";"Työvoima";1135;1028
"Joutsa";"Työvoima";1007;881
"Juuka";"Työvoima";1010;909
"Juupajoki";"Työvoima";447;381
"Juva";"Työvoima";1408;1287
"Jyväskylä";"Työvoima";34765;33680
"Jämijärvi";"Työvoima";415;383
"Jämsä";"Työvoima";4905;4429
"Järvenpää";"Työvoima";10806;10826
"Kaarina";"Työvoima";7797;8020
"Kaavi";"Työvoima";604;529
"Kajaani";"Työvoima";8763;8452
"Kalajoki";"Työvoima";2918;2614
"Kangasala";"Työvoima";7718;7389
"Kangasniemi";"Työvoima";1158;1055
"Kankaanpää";"Työvoima";2583;2552
"Kannonkoski";"Työvoima";299;252
"Kannus";"Työvoima";1305;1175
"Karijoki";"Työvoima";335;270
"Karkkila";"Työvoima";2133;1920
"Karstula";"Työvoima";900;833
"Karvia";"Työvoima";578;447
"Kaskinen";"Työvoima";264;252
"Kauhajoki";"Työvoima";3133;2922
"Kauhava";"Työvoima";3780;3316
"Kauniainen";"Työvoima";2114;2183
"Kaustinen";"Työvoima";1042;992
"Keitele";"Työvoima";513;428
"Kemi";"Työvoima";4679;4354
"Kemijärvi";"Työvoima";1576;1458
"Keminmaa";"Työvoima";1937;1836
"Kemiönsaari";"Työvoima";1489;1365
"Kempele";"Työvoima";4192;4014
"Kerava";"Työvoima";9177;8961
"Keuruu";"Työvoima";2035;2000
"Kihniö";"Työvoima";450;397
"Kinnula";"Työvoima";367;303
"Kirkkonummi";"Työvoima";9959;9842
"Kitee";"Työvoima";2218;2140
"Kittilä";"Työvoima";1644;1616
"Kiuruvesi";"Työvoima";1847;1672
"Kivijärvi";"Työvoima";246;187
"Kokemäki";"Työvoima";1675;1559
"Kokkola";"Työvoima";11167;10630
"Kolari";"Työvoima";916;898
"Konnevesi";"Työvoima";632;517
"Kontiolahti";"Työvoima";3735;3519
"Korsnäs";"Työvoima";540;472
"Koski Tl";"Työvoima";547;474
"Kotka";"Työvoima";12315;11738
"Kouvola";"Työvoima";19726;18747
"Kristiinankaupunki";"Työvoima";1493;1350
"Kruunupyy";"Työvoima";1625;1437
"Kuhmo";"Työvoima";1901;1659
"Kuhmoinen";"Työvoima";450;392
"Kumlinge";"Työvoima";84;66
"Kuopio";"Työvoima";28124;28156
"Kuortane";"Työvoima";810;732
"Kurikka";"Työvoima";4863;4374
"Kustavi";"Työvoima";206;156
"Kuusamo";"Työvoima";3477;3197
"Kyyjärvi";"Työvoima";313;244
"Kärkölä";"Työvoima";1107;967
"Kärsämäki";"Työvoima";564;468
"Kökar";"Työvoima";63;54
"Lahti";"Työvoima";28526;28265
"Laihia";"Työvoima";1987;1802
"Laitila";"Työvoima";2034;1873
"Lapinjärvi";"Työvoima";669;568
"Lapinlahti";"Työvoima";2271;2015
"Lappajärvi";"Työvoima";661;598
"Lappeenranta";"Työvoima";17567;16760
"Lapua";"Työvoima";3377;3113
